Código,Name,Faccao,Complexo,Pouco Expressivo
741,"Rua Castro Menezes, nº 928",,,
742,Cantinho do Rio,,,
743,Praça Cândida Vargas,,,
744,Nova Olinda,,,
746,"Rua Embaú, nº 349",,,
748,Força do Povo,,,
749,Caminho do Rio Pequeno,,,
750,Rua José Felix de Mariz,,,
751,Travessa Antônio Avelino,,,
752,Beco da Amizade,,,
753,Negrão de Lima,TCP,Serrinha,t
755,Comunidade Bandeirantes,,,
756,Hélio Oiticica,,,
758,Rua Samaúna,,,
759,Vila Arco Íris,Milicia,Curicica,
760,Rua Sargento Paulo Moreira,,,
761,Avenida Guia Lopes,,,
762,Vacaria,,,
763,"Rua Monsenhor Marques, nº 277",,,
764,Engenho da Serra,,,
765,Fazendinha de Água Santa,Milicia,Morro do 18,
766,Rua Daniel,CV,Cidade de Deus,
767,Praça da Bíblia,CV,Cidade de Deus,
768,Pantanal I (RA - Jacarepaguá),CV,Cidade de Deus,
769,Rua Agostinho Gama,,,
770,Outeiro (RA - Méier),CV,Camarista Meier,t
771,Vila da Amizade,Milicia,Sacu,t
772,Morro do Pau Ferro,,,
773,Sítio da Biquinha,Milicia,Floresta da Barra,
774,Vale Encantado,,,
775,Açude da Solidão,,,
776,Ilha da Gigóia - Lote 500,,,
777,Lagoa da Barra,,,
778,Rua Lagoa Redonda,,,
779,Vila Dom Fábio,,,
780,Parque Everest,,,
781,Malvinas,CV,Jacarezinho,t
782,"Vila da Rua Viúva Cláudio, nº 211",,,
783,Pata Choca,,,
784,Mandela de Pedra,CV,Manguinhos,t
786,Coroado (AMAPOLO),,,
787,Rua Projetada A - Rio Comprido,CV,Rio Comprido,
788,"Rua Jerônimo Ornelas, nº 490",,,
789,"Rua Marquês de Muritiba, nº 609",TCP,Dende,
790,Beco do Genipapo,,,
791,Caminho dos Nunes,,,
792,Morro do PEC,,,
794,"Avenida dos Eucaliptos, 28",,,
795,Bosque Mont Serrat,,,
796,Caminho do Abreu,,,
798,Parque Horto Florestal,,,
799,A.M. Barra América,,,
800,Nova Cidade,,,
801,A.M. Novo Rio de Jacarepaguá,Milicia,Gardenia Azul,
802,"Rua Torres de Oliveira, nº 467",Milicia,Morro do 18,t
803,Estrada do Soberbo (altura do nº 267),,,
804,Rua Rodrigo da Silva (altura do nº 910 - Caminho Santo André),,,
805,Rua Rodrigo da Silva (altura do nº 91),,,
806,Estrada do Soberbo (altura do nº 176),,,
807,Rua Adalberto Tanajura (altura do nº 152),,,
808,"Estrada Curipós, nº 310",,,
809,"Rua Aldo Rangel, nº 198",,,
810,Castor de Andrade II,CV,Vila Kennedy,
811,Favela do Quiabo,CV,Vila Kennedy,
812,Rua Humberto Teixeira,,,
813,Parque das Mangueiras,,,
814,"Estrada de Realengo, nº 1.516",,,
815,Estrada de Gericinó (altura do nº 860),Milicia,Catiri,
817,Sem Terra,Milicia,Catiri,
818,Vila Aliança (loteamento Rua do Lúcio),TCP,Vila Alianca,
859,Rua Myron Clark,,,
899,Granja Avícola Pastoril,,,
819,Quinta do Taquaral,TCP,Vila Alianca,
820,Vila Aliança (Av. do Corretor),TCP,Vila Alianca,
821,Vila Aliança,TCP,Vila Alianca,
822,Marco,,,
824,Rua da Proclamação (altura do nº 809),,,
825,Morro da Saudade,Policia,Botafogo,t
826,"Estrada do Quitungo, nº 1.267",Milicia,Quitungo,
828,Comunidade Solar da Montanha de Jacarepaguá,,,
829,Beco da Esperança,,,
830,Estrada do Pedregoso (próxima à Estrada do Mendanha),,,
832,Morro Luiz Barata,,,
833,Jardim Monteiro,,,
834,Caminho do Céu,,,
835,Caminho do Céu (Rua João Galdino),,,
836,Caminho do Céu (Trav. Miguel Sacramento),,,
837,Afonso Viseu,,,
838,Estrada do Mato Alto,,,
839,"Rua Gramado, nº 783 - servidão",,,
381,Nova Kennedy,CV,Vila Kennedy,
840,Torre de Babel,,,
841,Ocupação Olga Benário Prestes,,,
842,Comari,,,
843,Bairro São Sebastião,,,
844,Bosque dos Caboclos,,,
845,Morro do Quilombo,,,
846,Estrada da Caroba,,,
847,Estrada João Melo (altura do nº 460 - Caminho do Pastoria),,,
848,Estrada da Cachamorra (altura da Av. Mario Pedrosa),,,
849,"Estrada Guandu do Sapé, nº 870",,,
1091,Vila Miguel Angelo,,,
1092,Vila União (RA - Méier),,,
1093,Portelinha,,,
1094,Rua José Eugênio,,,
1095,"Rua Coqueiros, nº 10",,,
1096,"Rua Silva Teles, nº 110",,,
1097,Morrinho,,,
1098,"Rua Albano, nº 252",,,
1100,"Rua Pereiro, nº 471",,,
1101,"Estrada do Boiúna, nº 1546",,,
1065,Travessa do Jagunço,,,
1034,Da Curva,,,
1102,Gouveia,,,
1104,Higienópolis,,,
1105,B-1,,,
1107,Travessa Claudio Franco,,,
1108,Cajueiro,,,
21,Vila Anchieta,CV,Rio Comprido,
1063,Vida Nova,,,
923,Caminho dos Calharins,,,
938,Rua Pistóia,,,
941,Estrada do Murundu,,,
965,"Rua Euclides Roxo, nº 365",,,
995,Serra Verde,,,
816,Estrada de Gericinó (em frente ao nº 817),,,
831,Rio - São Paulo (altura do nº 3.239),,,
850,Jardim Nossa Senhora das Graças III,,,
851,"Estrada Guandu do Sena, nº 1.057",,,
852,"Avenida Dom Helder Câmara, nº 9.991 (rua Silvério, nº 79)",,,
853,"Rua Silva Vale, nº 108",CV,Juramento,t
854,"Rua Cardoso Quintão, nº 509 / Rua Paulo Eiro, nº 123",,,
855,Anastácia,,,
857,"Avenida Pedro Calmon, s/ nº",,,
858,Rua Myron Clark (Rua Jatuaia),,,
860,Rua 1 pela Ademas,CV,Alemao,t
861,Estrada do Itararé,CV,Alemao,
862,Rua Emilio Berla Lote 14,,,
863,"Ladeira dos Tabajaras, nº 248",Policia,Tabajaras,
864,Rua Ponto Chique (próxima ao nº 220),CV,Cidade Alta,t
866,Vila Bom Jardim,,,
867,Sítio do Nera,TCP,Fazenda Botafogo,
868,Village Costa Barros,TCP,Fazenda Botafogo,
869,Vila União (RA - Jacarepaguá),Milicia,Curicica,
870,Rua André Rocha,,,
871,Moquiço (RA - Bangu),TCP,Moquico,
872,Travessa Miguel Rangel,TCP,Serrinha,t
874,Comunidade São João dos Operários,TCP,Pichuna,t
875,Pantanal,,,
876,"Rua Moisés, nº 87",,,
877,Estrada da Pedra I,,,
878,Estrada da Pedra II,,,
879,Estrada da Pedra III,,,
880,Estrada da Pedra IV,,,
881,Estrada da Pedra V,,,
882,Estrada da Pedra VI,,,
883,Avenida Gaspar Lemos (próxima ao nº 11),,,
884,Morro da Foice,,,
885,Estrada da Pedra VII,,,
886,Travessa Natal,,,
887,Estrada da Pedra VIII,,,
888,Estrada da Pedra IX,,,
889,Estrada da Pedra X,,,
890,Pingo d'Água,,,
891,Avenida Silvério (Rua Palhano),,,
892,Avenida Silvério,,,
893,"Estrada do Magarça, nº 2.823",,,
894,Estrada da Cachamorra,,,
896,"Estrada do Mato Alto, nº 5.078",,,
897,Travessa dos Vieiras,,,
898,Bairro ABC,,,
900,"Rua Dona Emilia, nº 5",,,
901,Linha Amarela (acesso à Av. Automóvel Clube),,,
902,Casarão,,,
903,Parque Everest (Rua Arquibui),,,
904,Estrada de Inhoaíba (próxima Lt 02 - Qd 32),,,
905,Estrada Pedro Borges de Freitas (próxima ao nº 323),TCP,Para-Pedro,
906,Nossa Senhora da Apresentação,,,
907,"Estrada de Jacarepaguá, nº 2.679",,,
908,Regata,Milicia,Tijuquinha,
909,Comunidade do Adonis,,,
910,"Engenheiro Alberto Moas, próxima ao nº 75",,,
911,Antiga Company,,,
912,"Avenida Menezes Cortes, nº 12",,,
913,Avenida Menezes Cortes (com Estrada dos Três Rios),,,
914,Estrada do Rio Pequeno (próxima à rua 1),,,
915,Caminho da Cachoeira,,,
916,Caminho do Fincão,,,
917,Comunidade Campo da Paz,,,
918,Avenida Sampaio Correa,Milicia,Curicica,
919,Vila da Conquista,,,
920,Vila O - Conj. Vila Nova Cruzada,CV,Leblon,
921,Santa Maria II,,,
922,Estrada do Pau da Fome,,,
924,Caminho Novo da Represa,,,
925,Vila Rio Grande,,,
926,Parque da Comunidade Vila Arco Íris,Milicia,Curicica,
927,Comendador Lisboa,TCP,Serrinha,t
928,"Rua Bonina, nº 381",,,
929,"Rua Bonina, nº 511",,,
930,Vitória de Manguinhos,CV,Manguinhos,
931,Maré (Rua Guilherme Frota),TCP,Mare,t
932,Rua Mira,CV,Penha,t
933,Condomínio Mandela,,,
934,Beco Enedina,,,
935,Rua São Lourenço,,,
936,"Rua Pereira de Figueiredo, nº 630",,,
937,1º de Abril - Gouveia,,,
939,Sapé,,,
940,Rua Francisco Real,,,
942,Rua Ribatejo (em frente ao nº 245),,,
943,Vila Modelo - Rua Alfredo Cabuçu,,,
944,Nova Conquista (RA - Pavuna),,,
945,Cabo Otávio,,,
946,Monte Sinai,,,
947,Morada do Sol,,,
948,Rua Moença,,,
956,Rua Nossa Senhora da Penha,,,
957,Inácio Dias (RA - Méier),,,
958,Vila Operária Luiz Carlos Prestes,TCP,Urubu,
959,"Rua Jerônimo Pinto, nº 942",,,
960,Amigos da Aerobita,Milicia,Praca Seca,
961,Avenida Teixeira de Castro,,,
962,Avenida Brasil,,,
963,Uga-Uga,,,
964,"Rua Felizardo Fortes, nº 276",,,
966,Parque Carumbé,,,
967,Solar dos Teixeiras,,,
968,Vila Alzira,,,
969,"Rua Itaporanga, nº 175",TCP,Batam,
970,Avenida Brasil (Bairro Batam),TCP,Batam,
971,"Rua Duarte Coelho de Albuquerque, nº 184",TCP,Batam,
972,Canecão,,,
973,"Estrada do Pontal, nº 3.561",,,
974,Avenida Guiomar Novaes,,,
976,Matinha (RA - Rocinha),,,
978,Nova Palestina,,,
979,Comunidade Jardim da Vitória,,,
980,Rio - Santos,,,
981,Jardim Coqueiral,,,
982,Conjunto Antares (Rua Cybber Porto de Mendonça),,,
984,Bairro Canaã,,,
985,Estrada Joaquim Mamede,,,
986,Vila Santa Bárbara,CV,Providencia,t
987,Estrada da Posse,,,
988,Rua Anes Dias,TCP,Coreia,
989,Rua Paulo Martins (próxima ao Lt 12 - Qd B),,,
990,Estrada do Lameirão,,,
991,Vila Miséria,CV,Tuiuti,
992,Rua Bartolomeu Gusmão,CV,Mangueira,
993,"Rua São Francisco Xavier, nº 749",CV,Mangueira,
994,Estrada Duarte Nunes (em frente ao nº 97),,,
996,Caruba,,,
997,"Avenida Joaquim Magalhães, nº 499",,,
998,Marcondes da Luz,,,
999,Rua da Vala do Major Freitas,,,
1000,"Rua da Vala do Major Freitas, nº 329",,,
1001,Morro da Faxina,,,
1002,Mina,,,
1003,"Estrada do Boiúna, nº 2.354",,,
1004,"Estrada do Boiúna, nº 1.118",,,
1005,Comunidade Corumau,,,
1006,Estrada Meringuava,,,
1007,Lote 1.000,,,
1008,Beco da Coruja,Policia,Formiga,
1009,Rocha Miranda,,,
1010,Comunidade Novo Lar,,,
1011,"Rua Zenitildes Alves Meira, nº L33",,,
1012,Comunidade Luz Divina,,,
1013,"Avenida Automóvel Clube, nº 5.002",CV,Pavuna,t
1014,"Rua Jangada, L21fds",CV,Vila Cosmos,t
1015,"Rua Jangada, nº 230",CV,Vila Cosmos,t
1016,Vila Presidencial Quiririm,,,
1017,"Ladeira dos Tabajaras, nº 256",,,
1018,Caminho do Outeiro,,,
1020,Avenida 5 - Tijolinho,,,
1021,Mario Loroza,,,
1022,Rua Vídeo,,,
1024,Renascer,,,
1025,Manguariba III,,,
1026,A. M. Mário Larrubia,,,
1027,Jardim Gramado,,,
1028,Flama,,,
1029,"Rua Poerada, Lotes 39 e 40",,,
1030,Travessa Poeraba,,,
1031,Rua do Sol,,,
1032,Travessa Dois Irmãos,,,
1033,"Estrada do Tingui, nº 2.370",,,
1035,"Rua Paulo Roberto Matheus, Lote 7",,,
1036,Vista da Pedra,,,
1038,A.M. Amigos dos Teixeiras,,,
1039,"Estrada do Catonho, nº14",,,
1043,"Estrada de Jacarepaguá, nº 6.590",,,
1044,Vila Taboinha,,,
1047,A. M. São Sebastião,,,
1048,"Rua Jaú, nº 25",,,
1049,Comunidade do Pedrosa,Milicia,Belem-Belem,
1050,Vila Angela,CV,Ceu Azul,t
1051,Vila da Paz (RA - Méier),CV,Mangueira,t
1052,Vila do Mexicano,CV,Caju,t
1053,São Diogo,CV,Providencia,t
1054,"Rua Álvaro Ramos, nº 499",Policia,Botafogo,t
1055,"Rua Álvaro Ramos, nº 535",Policia,Botafogo,t
1056,Comunidade da Favelinha,,,
1057,Vila Padre Angelo,CV,Ceu Azul,t
1058,Estrela do Sul,,,
1059,Vila Porta do Céu,,,
1060,Caninaré,Milicia,Boogie Woogie,
1061,Barbante (Av. Sargento de Milícias),,,
1062,"Rua Embaú, nº 425",,,
1064,Deus é Vida,,,
1066,Vila Esperança (RA - Realengo),ADA,Vila do Vintem,
1067,Drª. Maria Estrela,,,
1069,Vila Santa Teresa,,,
1070,Recanto dos Pássaros,,,
1071,Pousada dos Cavalheiros,,,
1072,Vila Casarão,CV,Mangueira,t
1073,"Rua Valentim da Fonseca, nº 57",CV,Matriz,t
1074,"Rua São Paulo, nº 114",CV,Matriz,t
1075,Comunidade Vila do Pinheiro,TCP,Mare,
1076,Avenida Canal,,,
1077,Avenida Canal II,,,
1078,Avenida do Corretor,TCP,Vila Alianca,
1081,Comunidade do Ecoponto,,,
1083,Rua José Braga,,,
1084,"Rua Venâncio Ribeiro, nº 475",,,
1085,Castelo de Lucas,,,
1086,Avenida dos Campeões - Praça Elói de Andrade,,,
1087,Estrada Velha da Pavuna - Rua Sérgio Silva,CV,Pavuna,t
1088,Rua Armando Godói,,,
1089,Estrada Velha da Pavuna - Linha Amarela,,,
1090,Grefisa,,,
