Código,Name,Faccao,Complexo,Pouco Expressivo
151,Parque União de Del Castilho,Milicia,Belem-Belem,
152,Pica Pau Amarelo,CV,Jacarezinho,
153,"Praça Marimbá, 60 (Fundos)",,,
154,Relicário,CV,Alemao,
155,Rua Itabirito,TCP,Urubu,t
156,"Rua Matinoré, nº 163 (Fundos)",,,
157,Rua Pereira Pinto,CV,Engenho da Rainha,t
158,Seu Pedro,,,
159,Tautá,CV,Jacarezinho,
160,Teixeira Bastos,,,
161,Vila Caramuru,TCP,Urubu,
162,Vila União (RA - São Cristóvão),CV,Manguinhos,
163,Bairro Ouro Preto,CV,Camarista Meier,
164,Barro Preto,CV,Lins,
165,Barro Vermelho,CV,Lins,
166,Beco do Vitorino,,,
168,Cachoeirinha,CV,Lins,
169,"Cardoso de Mesquita, nº 28",,,
170,Morro dos Mineiros,TCP,Urubu,
171,Dona Francisca,CV,Lins,
172,Joaquim Méier,,,
173,Morro da Bacia,CV,Encontro,
174,Morro da Cachoeira Grande,CV,Lins,
175,Morro da Matriz,CV,Matriz,
176,Morro São João,CV,Matriz,
177,Morro do Amor,CV,Lins,
178,Morro do Céu,CV,Camarista Meier,
179,Morro do Encontro,CV,Encontro,
180,Morro Nossa Senhora da Guia,CV,Lins,
181,Morro do Queto,CV,Matriz,
182,Pretos Forros,CV,Camarista Meier,
183,"Rua Camarista Meier, nº 914",CV,Camarista Meier,
184,Grotão de Costa Barros,,,
185,Santa Terezinha,CV,Lins,
186,Santos Titara,,,
187,Serra do Padilha,,,
188,Travessa Bernardo,,,
189,Vila Cabuçu,CV,Lins,
190,"Avenida Automóvel Clube, nº 8.340",TCP,Para-Pedro,
191,Barreira do Juca,,,
192,Faz Quem Quer (RA - Madureira),CV,Faz Quem Quer,
194,Moisés Santana,CV,Faz Quem Quer,
195,Morro do Juramento,CV,Juramento,
196,Morro do Sapê,CV,Faz Quem Quer,
197,Morro União,ADA,Jorge Turco,
198,Rua Miguel Dibo,,,
199,Vila Operária Diamantes,,,
200,Vila São Jorge (RA - Irajá),TCP,Para-Pedro,
201,"Rua Congo, nº 147",CV,Vila Kennedy,
202,Avenida do Tenente,,,
203,Buriti - Congonhas,CV,Faz Quem Quer,
204,Monte Carmelo,,,
205,"Rua Araticum, nº 832",,,
206,Grota,TCP,Serrinha,
207,Jardim Piedade,Milicia,Sacu,
208,"Rua Joaquim Martins, nº 378-Fundos",,,
209,Morro da Iguaíba,Milicia,Campinho,
210,Morro do Fubá,Milicia,Campinho,
211,Morro do Sossego (RA - Madureira),CV,Faz Quem Quer,
212,Morro Inácio Dias,Milicia,Morro do 18,
213,"Nabuco de Araújo, nº 228",,,
214,Oliveira Junqueira,,,
215,Padre Manuel da Nóbrega,ADA,Urubu,t
216,Parque Araruna,,,
217,Parque Silva Vale,CV,Juramento,
218,Parque Vila Nova,,,
219,"Rua Baleares, nº 172 - Rua Amália, nº 286",,,
220,Rua Embiri,,,
221,Rua Engenheiro Clóvis nº 304,,,
222,Sociedade Beneficiente e Social Frei Sampaio,,,
223,"Rua Iguaçu, nº 360, casa 23",TCP,Serrinha,t
224,Cristo Rei,,,
225,Rua Lemos de Brito,Milicia,Sacu,
227,Rua Saçu,Milicia,Sacu,
228,Sanatório,TCP,Serrinha,
229,Morro São José,TCP,Serrinha,
230,Serrinha,TCP,Serrinha,
231,Vila Campinho,Milicia,Campinho,
232,Vila das Torres,TCP,Serrinha,t
233,Vila dos Mineiros,Milicia,Sacu,t
234,Vila Nossa Senhora da Glória,,,
235,Vila Primavera,CV,Juramento,
236,Vila Santa,,,
237,Araticum,,,
238,Barão,Milicia,Praca Seca,
239,Caminho do Waldemar,,,
